company_name,status,net_result,revenue,margin,processed_at
NEW BODY LINE,loss,,1101046.0,,2025-12-21T01:05:31.698448+00:00
PLACEMENTS DE TUNISIE SICAF,win,,58000.0,,2025-12-21T01:05:38.13887+00:00
SOCIETE DE FABRICATION DES BOISSONS DE TUNISIE,win,,836585626.332,,2025-12-21T01:05:44.250544+00:00
SMART TUNISIE.SA,loss,,113298000.0,,2025-12-21T01:05:50.378912+00:00
Société Tunisienne d’Email -SOTEMAIL-,win,,9883151.0,,2025-12-21T01:05:56.513151+00:00
Société Tunisienne Industrielle du Papier et du Carton (SOTIPAPIER),loss,,20999850.0,,2025-12-21T01:06:02.617439+00:00
الجملة لأسواق التونسيـــّـــــة,win,,5799500.0,43.5,2025-12-21T01:06:08.804141+00:00
Société de Placement et de Développement Industriel et Touristique,loss,,,,2025-12-21T01:06:14.929413+00:00
SOCIETE TUNISIENNE DE BANQUE,win,,1088901281.0,48.17,2025-12-21T01:06:21.471452+00:00
Tunisie Profilés Aluminium -TPR-,win,,51271589.0,,2025-12-21T01:06:27.667497+00:00
SOCIETE TUNISIENNE DE L’AIR - TUNISAIR,loss,,1283085000.0,,2025-12-21T01:06:33.803467+00:00
SOCIETE TUNISIENNE DE REASSURANCE- TUNIS RE,win,,179300000.0,,2025-12-21T01:06:40.273852+00:00
UNION INTERNATIONALE DE BANQUES - UIB,win,,685312000.0,,2025-12-21T01:06:46.744698+00:00
WIFAK INTERNATIONAL BANK,win,,136411000.0,,2025-12-21T01:06:53.068023+00:00
ALKIMIA,loss,,80194902.211,,2025-12-21T01:04:02.114056+00:00
Automobiles Réseau Tunisien et Services ARTES,loss,,76564366.0,,2025-12-21T01:04:08.121063+00:00
ASSURANCES MAGHREBIA S.A,win,,300000000.0,,2025-12-21T01:04:14.130973+00:00
Compagnie d’assurances et de réassurances ASTREE,win,,221987000.0,,2025-12-21T01:04:20.624763+00:00
ATTIJARI LEASING,win,,76780000.0,,2025-12-21T01:04:27.438494+00:00
