nom_fichier,entreprise,montant_credit,taux_interet,duree,type_credit,secteur,facteur_risque,commission_base,commission_optimale,montant_commission,fonction_objectif,commission_predite
SOCIETE_TUNISIENNE_DE_LAIR_-_TUNISAIR.pdf,SOCIETE TUNISIENNE DE LAIR TUNISAIR,176411000.0,8.4,180.0,Crédit-bail,transport,7.52,2.77,0.68,1199594.8,0.5411,0.6804874007919315
SOCIETE_DE_FABRICATION_DES_BOISSONS_DE_TUNISIE.pdf,SOCIETE DE FABRICATION DES BOISSONS DE TUNISIE,104136000.0,7.98,156.0,Crédit de fonctionnemen,industrie,6.1,2.16,0.6,624816.0,0.4653,0.6134324145171495
SOCIETE_TUNISIENNE_DE_BANQUE.pdf,SOCIETE TUNISIENNE DE BANQUE,189959000.0,8.81,120.0,Crédit-bail,finance,5.77,2.01,0.59,1120758.1,0.4477,0.5910314822279816
SMART_TUNISIE.SA.pdf,SMART TUNISIE.SA,32625000.0,9.43,144.0,Crédit de fonctionnemen,technologie,5.58,2.0,0.58,189225.0,0.4376,0.580590426730462
OFFICE_PLAST_S.A.pdf,OFFICE PLAST S.A,17131000.0,7.56,108.0,Crédit de trésorerie,industrie,4.77,1.61,0.54,92507.4,0.3944,0.5395599932863977
PLACEMENTS_DE_TUNISIE_SICAF.pdf,PLACEMENTS DE TUNISIE SICAF,4329000.0,9.46,132.0,Crédit d'investissem,finance,4.2,1.67,0.51,22077.9,0.364,0.513048781521981
ASSURANCES_MAGHREBIA_S.A.pdf,ASSURANCES MAGHREBIA S.A,60756000.0,9.39,60.0,Crédit de fonctionnemen,finance,3.95,1.33,0.5,303780.0,0.3507,0.4992360515232011
ALKIMIA.pdf,ALKIMIA,36981000.0,6.5,108.0,Crédit d'investissem,energie,3.94,1.32,0.5,184905.0,0.3501,0.496630740894163
NEW_BODY_LINE.pdf,NEW BODY LINE,6988000.0,7.56,108.0,Crédit-bail,commerce,3.66,1.36,0.48,33542.4,0.3352,0.4824836190101425
Compagnie_dassurances_et_de_reassurances_ASTREE.pdf,COMPAGNIE DASSURANCES ET DE REASSURANCES ASTREE,59657000.0,6.79,120.0,Crédit de trésorerie,,3.33,1.14,0.47,280387.9,0.3176,0.4690574979630965
SOCIETE_TUNISIENNE_DE_REASSURANCE-_TUNIS_RE.pdf,SOCIETE TUNISIENNE DE REASSURANCE TUNIS RE,44705000.0,7.67,72.0,Crédit de trésorerie,finance,3.16,1.05,0.46,205643.0,0.3085,0.4623410403210124
Automobiles_Reseau_Tunisien_et_Services_ARTES.pdf,AUTOMOBILES RESEAU TUNISIEN ET SERVICES ARTES,43402000.0,8.02,72.0,Crédit-bail,,2.88,0.98,0.44,190968.8,0.2936,0.44017086197467475
Tunisie_Profiles_Aluminium_-TPR-.pdf,TUNISIE PROFILES ALUMINIUM TPR,38390000.0,7.59,108.0,Crédit immobilier,,2.86,0.99,0.44,168916.0,0.2925,0.4406954899874536
ATTIJARI_LEASING.pdf,ATTIJARI LEASING,36711000.0,8.35,72.0,Crédit immobilier,finance,2.52,0.87,0.43,157857.3,0.2744,0.4260100266450529
Societe_Tunisienne_Industrielle_du_Papier_et_du_Carton_SOTIPAPIER.pdf,SOCIETE TUNISIENNE INDUSTRIELLE DU PAPIER ET DU CARTON SOTIPAPIER,17888000.0,7.09,108.0,Crédit immobilier,,2.39,0.85,0.42,75129.6,0.2675,0.41808403572630004
UNION_INTERNATIONALE_DE_BANQUES_-_UIB.pdf,UNION INTERNATIONALE DE BANQUES UIB,4000.0,6.53,144.0,Crédit immobilier,finance,2.32,1.0,0.42,16.8,0.2637,0.41874148134076
Societe_Tunisienne_dEmail_-SOTEMAIL-.pdf,SOCIETE TUNISIENNE DEMAIL SOTEMAIL,4830000.0,6.79,108.0,Crédit immobilier,,2.1,0.85,0.4,19320.0,0.252,0.4041439144937832
WIFAK_INTERNATIONAL_BANK.pdf,WIFAK INTERNATIONAL BANK,18188000.0,6.56,60.0,Crédit immobilier,finance,1.87,0.68,0.39,70933.2,0.2397,0.39190469786315785
ljml@_lswq_ltwnsyW@.pdf,LJML@ LSWQ LTWNSYW@,5955000.0,6.62,72.0,Crédit-bail,,1.77,0.72,0.39,23224.5,0.2344,0.38948950198703686
