
Identifiant du sinistre,Entreprise,Date du sinistre,Montant du sinistre,Type de sinistre,Secteur d’activité de l’entreprise,Taux de couverture,Franchise appliquée,État de la réclamation,Historique des sinistres passés,Durée de traitement,Coût estimé du sinistre à la fin de la période de règlement,Risque associé au sinistre
S01001,Société de Placement et de Développement Industriel et Touristique,2021-04-11,87650.53,Dommage matériel,finance,0.82,1570.94,réglé,0,67,96832.12,moyen
S01002,Carthage Cement,2023-04-09,2906460.05,Incendie,industrie,0.62,93923.73,en cours,2,116,3131581.41,élevé
S01003,SOCIETE TUNISIENNE DE VERRERIES -SOTUVER,2021-08-16,202931.45,Dégâts des eaux,industrie,0.68,6972.62,en cours,3,113,208703.33,élevé
S01004,Euro Cycles,2021-11-14,13583.9,Vol,industrie,0.64,594.53,rejeté,2,56,0.0,élevé
S01005,HANNIBAL LEASE SA,2021-07-05,2085528.97,Incendie,finance,0.84,35712.41,réglé,1,35,2175991.38,élevé
S01006,SOCIETE TUNISIENNE DE L’AIR - TUNISAIR,2018-09-14,3012176.06,Interruption d'activité,transport,0.62,116062.54,réglé,2,68,3071144.87,élevé
S01007,Tunisie Profilés Aluminium -TPR-,2020-08-21,84063.77,Dommage matériel,industrie,0.66,3788.74,rejeté,2,30,0.0,élevé
S01008,SOCIETE TUNISIENNE DE L’AIR - TUNISAIR,2019-01-12,281922.02,Catastrophe naturelle,transport,0.68,11236.07,réglé,4,63,306351.75,élevé
S01009,Compagnie d’assurances et de réassurances ASTREE,2023-12-07,33299.51,Bris de machine,finance,0.85,612.48,réglé,1,82,34556.75,faible
S01010,Unimed,2023-07-10,155499.92,Dommage matériel,sante,0.78,3817.43,réglé,0,43,168191.11,moyen
S01011,SOCIETE TUNISIENNE DE REASSURANCE- TUNIS RE,2019-02-15,229000.57,Catastrophe naturelle,finance,0.85,3722.85,en cours,1,137,251477.54,moyen
