nom_fichier,entreprise,montant_credit,taux_interet,duree,type_credit,secteur,nb_sinistres,montant_sinistres,status,montant_score,taux_score,duree_score,secteur_score,sinistres_score,type_credit_score,etat_financier_score,facteur_risque
SOCIETE_TUNISIENNE_DE_LAIR_-_TUNISAIR.pdf,SOCIETE TUNISIENNE DE LAIR TUNISAIR,176411000.0,8.4,180.0,Crédit-bail,transport,7.0,4477007.7,loss,9.286778447527045,6.4189189189189175,10.0,6,7.0,5,8,7.52
SOCIETE_DE_FABRICATION_DES_BOISSONS_DE_TUNISIE.pdf,SOCIETE DE FABRICATION DES BOISSONS DE TUNISIE,104136000.0,7.98,156.0,Crédit de fonctionnemen,industrie,6.0,13368187.57,win,5.481929930773077,5.0,8.0,7,6.0,7,2,6.1
SOCIETE_TUNISIENNE_DE_BANQUE.pdf,SOCIETE TUNISIENNE DE BANQUE,189959000.0,8.81,120.0,Crédit-bail,finance,4.0,2856444.44,win,10.0,7.8040540540540535,5.0,3,4.0,5,2,5.77
SMART_TUNISIE.SA.pdf,SMART TUNISIE.SA,32625000.0,9.43,144.0,Crédit de fonctionnemen,technologie,5.0,1848576.69,loss,1.7173014661367167,9.898648648648646,7.0,4,5.0,7,8,5.58
OFFICE_PLAST_S.A.pdf,OFFICE PLAST S.A,17131000.0,7.56,108.0,Crédit de trésorerie,industrie,6.0,4460112.59,loss,0.9016345976678687,3.581081081081079,4.0,7,6.0,8,8,4.77
PLACEMENTS_DE_TUNISIE_SICAF.pdf,PLACEMENTS DE TUNISIE SICAF,4329000.0,9.46,132.0,Crédit d'investissem,finance,3.0,3188771.0,win,0.227685504461583,10.0,6.0,3,3.0,6,2,4.2
ASSURANCES_MAGHREBIA_S.A.pdf,ASSURANCES MAGHREBIA S.A,60756000.0,9.39,60.0,Crédit de fonctionnemen,finance,3.0,478551.75,win,3.1982311600115816,9.763513513513512,0.0,3,3.0,7,2,3.95
ALKIMIA.pdf,ALKIMIA,36981000.0,6.5,108.0,Crédit d'investissem,energie,6.0,2307203.0900000003,loss,1.9466189360638044,0.0,4.0,5,6.0,6,8,3.94
NEW_BODY_LINE.pdf,NEW BODY LINE,6988000.0,7.56,108.0,Crédit-bail,commerce,4.0,3845039.24,loss,0.3676660261640915,3.581081081081079,4.0,5,4.0,5,8,3.66
Compagnie_dassurances_et_de_reassurances_ASTREE.pdf,COMPAGNIE DASSURANCES ET DE REASSURANCES ASTREE,59657000.0,6.79,120.0,Crédit de trésorerie,,0.0,,default,3.140375352057066,0.9797297297297296,5.0,5,0.0,8,5,3.33
SOCIETE_TUNISIENNE_DE_REASSURANCE-_TUNIS_RE.pdf,SOCIETE TUNISIENNE DE REASSURANCE TUNIS RE,44705000.0,7.67,72.0,Crédit de trésorerie,finance,3.0,5957342.68,win,2.3532415572109184,3.9527027027027013,1.0,3,3.0,8,2,3.16
Automobiles_Reseau_Tunisien_et_Services_ARTES.pdf,AUTOMOBILES RESEAU TUNISIEN ET SERVICES ARTES,43402000.0,8.02,72.0,Crédit-bail,,0.0,,default,2.2846463636124343,5.135135135135132,1.0,5,0.0,5,5,2.88
Tunisie_Profiles_Aluminium_-TPR-.pdf,TUNISIE PROFILES ALUMINIUM TPR,38390000.0,7.59,108.0,Crédit immobilier,,0.0,,default,2.0207943986733703,3.6824324324324307,4.0,5,0.0,3,5,2.86
ATTIJARI_LEASING.pdf,ATTIJARI LEASING,36711000.0,8.35,72.0,Crédit immobilier,finance,1.0,7968824.99,win,1.9324050432997288,6.2499999999999964,1.0,3,1.0,3,2,2.52
Societe_Tunisienne_Industrielle_du_Papier_et_du_Carton_SOTIPAPIER.pdf,SOCIETE TUNISIENNE INDUSTRIELLE DU PAPIER ET DU CARTON SOTIPAPIER,17888000.0,7.09,108.0,Crédit immobilier,,0.0,,default,0.941486141454555,1.9932432432432423,4.0,5,0.0,3,5,2.39
UNION_INTERNATIONALE_DE_BANQUES_-_UIB.pdf,UNION INTERNATIONALE DE BANQUES UIB,4000.0,6.53,144.0,Crédit immobilier,finance,2.0,1981313.0999999996,win,0.0,0.10135135135135215,7.0,3,2.0,3,2,2.32
Societe_Tunisienne_dEmail_-SOTEMAIL-.pdf,SOCIETE TUNISIENNE DEMAIL SOTEMAIL,4830000.0,6.79,108.0,Crédit immobilier,,0.0,,default,0.2540601721460346,0.9797297297297296,4.0,5,0.0,3,5,2.1
WIFAK_INTERNATIONAL_BANK.pdf,WIFAK INTERNATIONAL BANK,18188000.0,6.56,60.0,Crédit immobilier,finance,4.0,2423787.29,win,0.9572793556368614,0.20270270270270133,0.0,3,4.0,3,2,1.87
ljml@_lswq_ltwnsyW@.pdf,LJML@ LSWQ LTWNSYW@,5955000.0,6.62,72.0,Crédit-bail,,0.0,,default,0.3132847253296833,0.40540540540540565,1.0,5,0.0,5,5,1.77
