SEANCE    ;GROUPE    ;CODE        ;VALEUR          ;OUVERTURE ;CLOTURE    ;PLUS_BAS   ;PLUS_HAUT ;QUANTITE_NEGOCIEE;NB_TRANSACTION ;CAPITAUX 
02/01/2024   ;11        ;TN0001100254;SFBT              ;12.450    ;12.350    ;12.250    ;12.640    ;8663              ;27             ;106915.730
02/01/2024   ;11        ;TN0001400704;SPDIT - SICAF     ;8.500     ;8.500     ;0.000     ;0.000     ;0                 ;0              ;0.000
02/01/2024   ;11        ;TN0001600154;ATTIJARI BANK     ;46.140    ;45.400    ;44.700    ;46.100    ;4186              ;46             ;189589.220
02/01/2024   ;11        ;TN0001800457;BIAT              ;91.900    ;90.850    ;90.200    ;91.200    ;485               ;23             ;43887.300
02/01/2024   ;11        ;TN0001900604;BH BANK           ;11.950    ;11.950    ;0.000     ;0.000     ;0                 ;0              ;0.000
02/01/2024   ;11        ;TN0002100907;TUNISIE LEASING F ;13.000    ;12.610    ;12.610    ;12.610    ;50                ;1              ;630.500
02/01/2024   ;11        ;TN0002200053;BT                ;5.380     ;5.360     ;5.350     ;5.400     ;21813             ;46             ;117155.240
02/01/2024   ;11        ;TN0002600955;STB               ;3.740     ;3.590     ;3.590     ;3.720     ;3667              ;10             ;13175.660
02/01/2024   ;11        ;TN0003100609;BNA               ;8.130     ;8.120     ;8.000     ;8.120     ;637               ;4              ;5130.440
02/01/2024   ;11        ;TN0003200755;ICF               ;71.400    ;71.000    ;69.500    ;71.000    ;423               ;18             ;29623.700
02/01/2024   ;11        ;TN0003400058;AMEN BANK         ;33.500    ;33.300    ;32.800    ;33.300    ;1576              ;14             ;51908.800
02/01/2024   ;11        ;TN0003600350;ATB               ;2.700     ;2.730     ;2.690     ;2.750     ;3794              ;11             ;10214.350
02/01/2024   ;11        ;TN0003900107;UIB               ;25.900    ;25.950    ;25.390    ;25.950    ;1225              ;9              ;31229.920
02/01/2024   ;11        ;TN0004700100;ATL               ;3.600     ;3.630     ;3.540     ;3.650     ;225               ;6              ;797.320
02/01/2024   ;11        ;TN0005700018;POULINA GP HOLDING;7.640     ;7.910     ;7.650     ;7.920     ;1252              ;32             ;9840.260
02/01/2024   ;11        ;TN0006530018;SOTETEL           ;3.600     ;3.600     ;3.580     ;3.650     ;1695              ;15             ;6113.000
02/01/2024   ;11        ;TN0006560015;SOTUVER           ;12.000    ;12.000    ;11.800    ;12.200    ;6004              ;29             ;71983.770
02/01/2024   ;11        ;TN0006580013;SOTUMAG           ;5.080     ;5.000     ;5.000     ;5.000     ;2640              ;22             ;13200.000
