nom_fichier,montant_credit,duree,taux_interet,type_credit
ALKIMIA.pdf,36981000.0,108.0,6.5,Crédit d'investissem
ASSURANCES_MAGHREBIA_S.A.pdf,60756000.0,60.0,9.39,Crédit de fonctionnemen
ATTIJARI_LEASING.pdf,36711000.0,72.0,8.35,Crédit immobilier
Automobiles_Reseau_Tunisien_et_Services_ARTES.pdf,43402000.0,72.0,8.02,Crédit-bail
Compagnie_dassurances_et_de_reassurances_ASTREE.pdf,59657000.0,120.0,6.79,Crédit de trésorerie
ljml@_lswq_ltwnsyW@.pdf,5955000.0,72.0,6.62,Crédit-bail
NEW_BODY_LINE.pdf,6988000.0,108.0,7.56,Crédit-bail
OFFICE_PLAST_S.A.pdf,17131000.0,108.0,7.56,Crédit de trésorerie
PLACEMENTS_DE_TUNISIE_SICAF.pdf,4329000.0,132.0,9.46,Crédit d'investissem
SMART_TUNISIE.SA.pdf,32625000.0,144.0,9.43,Crédit de fonctionnemen
SOCIETE_DE_FABRICATION_DES_BOISSONS_DE_TUNISIE.pdf,104136000.0,156.0,7.98,Crédit de fonctionnemen
Societe_Tunisienne_dEmail_-SOTEMAIL-.pdf,4830000.0,108.0,6.79,Crédit immobilier
SOCIETE_TUNISIENNE_DE_BANQUE.pdf,189959000.0,120.0,8.81,Crédit-bail
SOCIETE_TUNISIENNE_DE_LAIR_-_TUNISAIR.pdf,176411000.0,180.0,8.4,Crédit-bail
SOCIETE_TUNISIENNE_DE_REASSURANCE-_TUNIS_RE.pdf,44705000.0,72.0,7.67,Crédit de trésorerie
Societe_Tunisienne_Industrielle_du_Papier_et_du_Carton_SOTIPAPIER.pdf,17888000.0,108.0,7.09,Crédit immobilier
Tunisie_Profiles_Aluminium_-TPR-.pdf,38390000.0,108.0,7.59,Crédit immobilier
UNION_INTERNATIONALE_DE_BANQUES_-_UIB.pdf,4000.0,144.0,6.53,Crédit immobilier
WIFAK_INTERNATIONAL_BANK.pdf,18188000.0,60.0,6.56,Crédit immobilier
